County,Latitude,Longitude,Score,Zipcode
San Francisco County Split,37.768566493637,-122.42746562680632,16,94114
Baltimore County Split,39.296747806363,-76.60396779316679,1,21202
Baltimore County Split,39.296747806363,-76.6204108068332,20,21201
Baltimore County Split,39.284021793637,-76.60396779316679,52,21203
Baltimore County Split,39.284021793637,-76.6204108068332,14,21230
Ventura County Split,34.286855306363,-119.2868192071466,20,93001
Ventura County Split,34.286855306363,-119.3022205928534,16,93001
Ventura County Split,34.274129293637,-119.2868192071466,33,93001
Ventura County Split,34.274129293637,-119.3022205928534,8,93001
Fort Bend County,29.5692614,-95.8142885,1,77471
Snohomish County Split,47.91923860636301,-122.08869135763454,7,98291
Snohomish County Split,47.91923860636301,-122.10767804236546,1,98291
Snohomish County Split,47.90651259363701,-122.08869135763454,35,98291
Snohomish County Split,47.90651259363701,-122.10767804236546,6,98291
Hamilton County,39.3995008,-84.5613355,10,45015
Multnomah County,45.5145659,-122.5863211,4,97215
Essex County,42.63195820000001,-70.7829315,2,01929
Oklahoma County Split,35.473923206363004,-97.50861490197914,25,73104
Oklahoma County Split,35.473923206363004,-97.52424029802086,33,73102
Oklahoma County Split,35.461197193637,-97.50861490197914,20,73129
Oklahoma County Split,35.461197193637,-97.52424029802086,12,73109
Jefferson County,38.1938097,-85.64348700000001,3,40218
Cobb County,33.8999297,-84.56414699999999,1,30008
DeKalb County,33.7956441,-84.2278796,6,30072
Monroe County,41.3306493,-74.1868135,5,10950
San Mateo County Split,37.569354706363,-122.31749822936652,30,94401
San Mateo County Split,37.569354706363,-122.33355257063349,1,94401
San Mateo County Split,37.556628693637,-122.31749822936652,5,94402
Jackson County,37.3822732,-89.6662063,3,63755
Hudson County,40.7453199,-74.05351259999999,5,07307
Denver County Split,39.745598806363006,-104.98197619997916,11,80203
Denver County Split,39.745598806363006,-104.99852580002084,51,80202
Denver County Split,39.732872793637,-104.98197619997916,14,80203
Denver County Split,39.732872793637,-104.99852580002084,9,80204
Davidson County,36.1765901,-86.7818523,18,37219
Bernalillo County,35.30004,-106.5511369,2,87004
District of Columbia Split,38.913555306363,-77.02869375556365,33,20009
District of Columbia Split,38.913555306363,-77.04504764443634,12,20036
District of Columbia Split,38.900829293637,-77.02869375556365,49,20223
District of Columbia Split,38.900829293637,-77.04504764443634,38,20006
Tulsa County Split,36.160344606363005,-95.98489447585662,29,74013
Tulsa County Split,36.160344606363005,-96.0006555241434,13,74013
Tulsa County Split,36.147618593637,-95.98489447585662,19,74120
Tulsa County Split,36.147618593637,-96.0006555241434,2,74107
Providence County Split,41.830352106363,-71.4042956081931,30,02912
Providence County Split,41.830352106363,-71.4213729918069,21,02902
Providence County Split,41.817626093637,-71.4042956081931,34,02903
Providence County Split,41.817626093637,-71.4213729918069,26,02902
Bucks County,40.4107964,-75.2479061,2,18944
Ocean County,40.2645806,-74.0420699,7,07755
Montgomery County,30.3882613,-95.6963355,12,77316
Western Connecticut Planning Region,41.4004202,-73.4443811,5,06810
Brevard County,28.263933,-80.7214417,4,32940
Anne Arundel County,38.9530109,-76.5488232,4,21041
Baltimore City Split,39.296747806363,-76.60396779316679,1,21202
Baltimore City Split,39.296747806363,-76.6204108068332,20,21201
Baltimore City Split,39.284021793637,-76.60396779316679,50,21203
Baltimore City Split,39.284021793637,-76.6204108068332,14,21230
Jefferson County,39.377255,-105.8005988,1,80448
Delaware County Split,39.914156006363,-75.37955737590362,4,19063
Delaware County Split,39.914156006363,-75.39614762409637,28,19063
Delaware County Split,39.901429993637,-75.37955737590362,2,19086
Union County,40.6975898,-74.26316349999999,7,07083
South Central Connecticut Planning Region,41.6032207,-73.087749,1,06779
New Castle County,39.6620397,-75.5668166,6,19720
Lancaster County Split,40.044238506363,-76.29720347331948,18,17602
Lancaster County Split,40.044238506363,-76.31382532668053,36,17603
Lancaster County Split,40.031512493637,-76.29720347331948,11,17602
Lancaster County Split,40.031512493637,-76.31382532668053,9,17603
Guilford County Split,36.096350306363,-79.8218001968314,12,27408
Guilford County Split,36.083624293636994,-79.8218001968314,5,27408
Guilford County Split,36.083624293636994,-79.83754840316858,12,27403
Summit County,41.0918991,-81.5596427,3,44320
Spokane County Split,47.664334106363,-117.41408489890836,46,99258
Spokane County Split,47.664334106363,-117.43297870109164,20,99201
Spokane County Split,47.651608093637,-117.41408489890836,25,99201
Spokane County Split,47.651608093637,-117.43297870109164,37,99201
Chester County,39.849557,-75.3557457,1,19013
Montgomery County Split,39.23447730636301,-84.34589199281119,8,45242
Montgomery County Split,39.23447730636301,-84.36232040718879,3,45242
Montgomery County Split,39.221751293637,-84.34589199281119,3,45242
Montgomery County Split,39.221751293637,-84.36232040718879,15,45242
Plymouth County Split,41.964808706363,-70.65870541586945,16,02360
Plymouth County Split,41.964808706363,-70.67581878413056,21,02360
Plymouth County Split,41.952082693637,-70.65870541586945,20,02360
Plymouth County Split,41.952082693637,-70.67581878413056,6,02360
Greenville County Split,34.85898060636299,-82.38625654371056,5,29601
Greenville County Split,34.85898060636299,-82.40176425628944,15,29601
Greenville County Split,34.846254593636985,-82.38625654371056,7,29603
Greenville County Split,34.846254593636985,-82.40176425628944,50,29601
Passaic County,40.8567662,-74.1284764,5,07055
Sonoma County Split,38.298222006363005,-122.4499284592534,22,95476
Sonoma County Split,38.298222006363005,-122.4661427407466,20,95476
Sonoma County Split,38.285495993637,-122.4499284592534,15,95476
Sonoma County Split,38.285495993637,-122.4661427407466,16,95476
Knox County,36.0186934,-83.8473015,1,37924
Prince William County,38.7838939,-77.6077865,19,20155
Tulare County,36.2077288,-119.3473379,11,93274
Seminole County,27.8397466,-82.79121339999999,6,33772
Burlington County,40.071222,-74.86488729999999,8,08016
Virginia Beach City Split,36.858006706363,-75.97126754168823,11,23451
Virginia Beach City Split,36.858006706363,-75.98717125831175,26,23451
Virginia Beach City Split,36.845280693636994,-75.97126754168823,12,23451
Virginia Beach City Split,36.845280693636994,-75.98717125831175,13,23451
York County Split,39.968961406363,-76.71944323062304,5,17403
York County Split,39.968961406363,-76.73604676937696,25,17404
York County Split,39.956235393637,-76.71944323062304,5,17403
York County Split,39.956235393637,-76.73604676937696,15,17401
Naugatuck Valley Planning Region,41.485921,-73.0506972,4,06770
Santa Barbara County Split,34.427193506363004,-119.69047650524224,11,93103
Santa Barbara County Split,34.427193506363004,-119.70590369475778,44,93101
Santa Barbara County Split,34.414467493637,-119.69047650524224,34,93102
Santa Barbara County Split,34.414467493637,-119.70590369475778,12,93101
Sarasota County Split,27.342828006363007,-82.52384877508916,9,34237
Sarasota County Split,27.342828006363007,-82.53817462491082,44,34236
Sarasota County Split,27.330101993637,-82.52384877508916,6,34326
Sarasota County Split,27.330101993637,-82.53817462491082,59,34236
Monterey County Split,36.606600806363005,-121.88675023120318,20,93949
Monterey County Split,36.606600806363005,-121.90260196879682,6,93944
Monterey County Split,36.593874793637,-121.88675023120318,10,93940
Monterey County Split,36.593874793637,-121.90260196879682,7,93940
Berks County Split,40.351519606363006,-75.98441653273592,14,19610
Berks County Split,40.338793593637,-75.98441653273592,9,19610
Berks County Split,40.338793593637,-76.00111386726407,3,19609
Hillsborough County,43.114728,-71.895049,2,03244
Cameron County,30.8532454,-96.9769304,1,76520
Mobile County Split,30.689002693637,-88.03249143957197,3,36602
Mobile County Split,30.689002693637,-88.04729096042803,45,36601
Charleston County Split,32.789679306363006,-79.92439791848722,7,29415
Charleston County Split,32.789679306363006,-79.93953488151277,35,29403
Charleston County Split,32.776953293637,-79.92439791848722,61,29415
Charleston County Split,32.776953293637,-79.93953488151277,32,29401
Waukesha County Split,43.017146606363006,-88.22047105926762,3,53186
Waukesha County Split,43.017146606363006,-88.23787474073237,16,53188
Waukesha County Split,43.004420593637,-88.23787474073237,12,53186
St. Charles County,38.7881062,-90.4974359,8,63301
Orange County,41.3911653,-74.3118212,8,10924
Madison County,34.6992579,-86.74833180000002,5,35758
Butler County,40.5883933,-82.4248862,1,44822
Mercer County,40.3028533,-74.7337069,5,08648
Orleans Parish Split,29.957428806363,-90.06418855160236,50,70116
Orleans Parish Split,29.957428806363,-90.07887604839765,4,70118
Orleans Parish Split,29.944702793636985,-90.06418855160236,51,70130
Orleans Parish Split,29.944702793636985,-90.07887604839765,12,70125
Brazoria County,29.0444147,-95.5691126,1,77422
Stark County,40.8684676,-81.2518833,3,44641
Chesterfield County,37.3770935,-77.5049863,8,23832
Anoka County Split,45.204105806363,-93.3781459319386,4,55316
Anoka County Split,45.204105806363,-93.39620566806138,14,55303
Anoka County Split,45.191379793637,-93.3781459319386,3,55303
Anoka County Split,45.191379793637,-93.39620566806138,9,55316
Galveston County Split,29.30771090636301,-94.79039925766097,37,77550
Galveston County Split,29.30771090636301,-94.80499234233903,3,77554
Galveston County Split,29.294984893637,-94.79039925766097,12,77550
Galveston County Split,29.294984893637,-94.80499234233903,6,77550
Rockland County,41.1489458,-73.98300290000002,13,10956
St. Lucie County,27.2730492,-80.3582261,8,34984
Spartanburg County Split,34.955930206363,-81.92428518513813,8,29305
Spartanburg County Split,34.955930206363,-81.93981121486186,11,29303
Spartanburg County Split,34.943204193636994,-81.92428518513813,10,29306
Spartanburg County Split,34.943204193636994,-81.93981121486186,13,29306
Boulder County Split,40.021348606363006,-105.2622374614829,26,80302
Boulder County Split,40.021348606363006,-105.27885373851711,64,80302
Boulder County Split,40.008622593637,-105.2622374614829,1,80302
Boulder County Split,40.008622593637,-105.27885373851711,7,80802
Greater Bridgeport Planning Region,41.211842,-73.2057595,9,06606
Luzerne County,41.2856365,-75.9010304,5,18709
Durham County Split,36.000395906363,-78.89075448662898,4,27701
Durham County Split,36.000395906363,-78.90648351337101,49,27701
Durham County Split,35.987669893637,-78.89075448662898,3,27701
Durham County Split,35.987669893637,-78.90648351337101,4,27701
Lancaster County,40.8471492,-96.663812,4,68504
Fayette County,38.06064780000001,-84.4802606,8,40542
Albany County Split,42.658942306363,-73.74758014692841,11,12207
Albany County Split,42.658942306363,-73.76488325307159,11,12206
Albany County Split,42.646216293637,-73.74758014692841,17,12246
Albany County Split,42.646216293637,-73.76488325307159,8,12202
Northampton County,40.6862075,-75.4968501,3,18067
Lorain County,41.452819,-82.1823746,1,44052
Lubbock County Split,33.590924706363005,-101.83800368169612,2,79401
Lubbock County Split,33.590924706363005,-101.8532797183039,22,79401
Lubbock County Split,33.578198693637,-101.83800368169612,6,79401
Lubbock County Split,33.578198693637,-101.8532797183039,11,79401
McHenry County,42.333355,-88.2667534,13,60050
Cumberland County,43.796573,-70.2585205,2,04021
Gloucester County,39.8917799,-75.1162863,4,08030
St. Louis City Split,38.633365506363006,-90.19125930541908,21,63103
St. Louis City Split,38.633365506363006,-90.20754909458093,19,63103
St. Louis City Split,38.620639493637,-90.19125930541908,10,63101
St. Louis City Split,38.620639493637,-90.20754909458093,15,63103
Dutchess County,41.7784372,-73.7477857,2,12545
Clayton County Split,34.884510906363005,-83.39323703618093,18,30525
Clayton County Split,34.884510906363005,-83.40874956381906,14,30525
Clayton County Split,34.871784893637,-83.39323703618093,14,30525
Clayton County Split,34.871784893637,-83.40874956381906,15,30525
Chatham County,31.9994194,-81.1196075,20,31406
Lexington County Split,33.987899906363005,-81.22853719499395,25,29072
Lexington County Split,33.987899906363005,-81.24388420500605,40,29071
Lexington County Split,33.975173893637,-81.22853719499395,11,29071
Lexington County Split,33.975173893637,-81.24388420500605,3,29072
Anchorage Municipality Split,61.223938806363,-149.8864630174141,30,99501
Anchorage Municipality Split,61.223938806363,-149.9128937825859,8,99501
Anchorage Municipality Split,61.211212793637,-149.8864630174141,29,99513
Anchorage Municipality Split,61.211212793637,-149.9128937825859,8,99501
Benton County,34.5693083,-92.585378,14,72015
Dauphin County,40.3673093,-76.9310859,2,17018
York County,34.9943021,-81.24201750000002,8,29745
Merced County Split,37.308526206363005,-120.47496845233678,2,95340
Merced County Split,37.308526206363005,-120.49096694766322,8,95340
Merced County Split,37.295800193637,-120.47496845233678,16,95341
Merced County Split,37.295800193637,-120.49096694766322,14,95341
San Luis Obispo County Split,35.289115406363,-120.65182077372204,12,93410
San Luis Obispo County Split,35.289115406363,-120.66741042627794,11,93407
San Luis Obispo County Split,35.276389393637,-120.65182077372204,9,93401
San Luis Obispo County Split,35.276389393637,-120.66741042627794,54,93405
Southeastern Connecticut Planning Region,41.3317662,-72.94834159999999,4,06515
St. Johns County,30.0820653,-81.5471201,1,32259
Frederick County Split,39.42063180636299,-77.40230480327449,45,21701
Frederick County Split,39.42063180636299,-77.41877699672551,35,21701
Frederick County Split,39.407905793636985,-77.40230480327449,12,
Frederick County Split,39.407905793636985,-77.41877699672551,21,21709
Erie County Split,42.13558710636299,-80.0764792852422,1,16507
Erie County Split,42.13558710636299,-80.0936387147578,25,16507
Erie County Split,42.122861093636985,-80.0764792852422,18,
Erie County Split,42.122861093636985,-80.0936387147578,5,16502
Buncombe County,35.59313770000001,-82.4752757,5,28805
Santa Cruz County Split,36.98048010636301,-122.02283166328402,39,95061
Santa Cruz County Split,36.967754093637,-122.02283166328402,19,95061
Santa Cruz County Split,36.967754093637,-122.038760936716,12,
Cherokee County,34.2514526,-84.4802606,19,
Kalamazoo County Split,42.29806990636301,-85.57862678682115,17,49007
Kalamazoo County Split,42.29806990636301,-85.59583041317886,2,49007
Kalamazoo County Split,42.285343893637,-85.57862678682115,35,49007
Kalamazoo County Split,42.285343893637,-85.59583041317886,12,49007
McLennan County Split,31.52459150636301,-97.17156183430522,7,76707
McLennan County Split,31.52459150636301,-97.18649016569476,9,76710
McLennan County Split,31.511865493637,-97.18649016569476,6,76712
Harford County,39.5838964,-76.3637285,1,21050
Yakima County Split,46.608434106363006,-120.49663750764556,19,98901
Yakima County Split,46.608434106363006,-120.51515989235445,9,98902
Yakima County Split,46.595708093637,-120.49663750764556,9,98901
Yakima County Split,46.595708093637,-120.51515989235445,8,98902
Jefferson County Split,32.763725606363,-94.33762632507658,8,75657
Jefferson County Split,32.763725606363,-94.3527588749234,14,75657
Jefferson County Split,32.750999593637,-94.33762632507658,16,75657
Jefferson County Split,32.750999593637,-94.3527588749234,16,75657
Forsyth County,33.0342974,-83.938242,8,31029
Williamson County Split,35.924290106363,-86.87003963951472,24,37064
Warren County,41.2375569,-80.81841659999999,15,44481
Lafayette Parish Split,30.230452706363007,-92.01247864825486,12,70501
Lafayette Parish Split,30.230452706363007,-92.02720675174514,6,70501
Lafayette Parish Split,30.217726693637,-92.01247864825486,10,70501
Lafayette Parish Split,30.217726693637,-92.02720675174514,2,70506
Henry County,33.4347963,-84.14351359999999,6,30353
Yavapai County,34.6463981,-112.4291464,2,
Norfolk City Split,36.857131906363,-76.29382436731657,35,23507
Norfolk City Split,36.844405893637,-76.2779208326834,2,23514
Norfolk City Split,36.844405893637,-76.29382436731657,40,23514
Saratoga County Split,43.089493106363,-73.77585299018426,20,12866
Saratoga County Split,43.089493106363,-73.79327720981573,15,12866
Saratoga County Split,43.076767093637,-73.77585299018426,24,12866
Saratoga County Split,43.076767093637,-73.79327720981573,43,12866
Arlington County Split,38.887983806363,-77.08280689916153,21,22201
Arlington County Split,38.887983806363,-77.09915490083846,30,22201
Arlington County Split,38.875257793637,-77.08280689916153,2,22211
Arlington County Split,38.875257793637,-77.09915490083846,1,22201
Canyon County,43.67795810000001,-116.6865435,13,83605
Smith County,32.3352505,-95.3102505,6,75701
Brazos County,30.6504141,-96.3226072,3,77802
Tuscaloosa County Split,33.216203706363004,-87.56156834573564,31,35401
Tuscaloosa County Split,33.216203706363004,-87.57677865426434,7,35476
Tuscaloosa County Split,33.203477693637,-87.56156834573564,27,35401
Tuscaloosa County Split,33.203477693637,-87.57677865426434,3,35401
Barnstable County,41.7003208,-70.3002024,5,02630
New Hanover County,34.2154913,-77.88245959999999,4,28403
Montgomery County Split,32.385586306363,-86.30020235440414,2,36104
Montgomery County Split,32.385586306363,-86.31527124559587,19,36104
Montgomery County Split,32.372860293637,-86.30020235440414,5,36104
Montgomery County Split,32.372860293637,-86.31527124559587,16,36104
Richmond City Split,37.547087606363,-77.4440728727238,34,23220
Richmond City Split,37.534361593636994,-77.4280233272762,21,23223
Richmond City Split,37.534361593636994,-77.4440728727238,2,23284
Jefferson County,38.5892299,-92.2630393,9,65109
Delaware County Split,40.30503540636301,-83.05962207938352,18,43015
Delaware County Split,40.30503540636301,-83.07630792061649,10,43015
Delaware County Split,40.292309393637,-83.05962207938352,8,43015
Delaware County Split,40.292309393637,-83.07630792061649,5,43015
York County,43.16174830000001,-70.6482581,7,03909
Niagara County,43.115326,-78.9853813,2,14304
Washington County,40.17396,-80.2461714,14,15301
Clermont County,39.0928449,-84.1857115,1,45103
Elkhart County,41.6873832,-85.973517,20,46515
Champaign County Split,40.122783406363006,-88.2350623816048,25,61820
Champaign County Split,40.122783406363006,-88.2517034183952,25,61820
Champaign County Split,40.110057393637,-88.2350623816048,27,61820
Champaign County Split,40.110057393637,-88.2517034183952,5,61820
Hall County,34.30778,-83.804868,7,30501
Anderson County Split,34.509802406363,-82.64241196872531,4,29621
Anderson County Split,34.509802406363,-82.65785443127469,24,29625
Anderson County Split,34.497076393636995,-82.64241196872531,8,29624
Anderson County Split,34.497076393636995,-82.65785443127469,6,29624
Yuma County Split,32.699014206363,-114.62013081450245,14,85364
Yuma County Split,32.699014206363,-114.63525238549757,1,85364
Yuma County Split,32.686288193637,-114.62013081450245,8,85364
Yuma County Split,32.686288193637,-114.63525238549757,4,85364
Racine County Split,42.73249390636301,-87.77419049621659,9,53403
Racine County Split,42.73249390636301,-87.79151410378344,28,53404
Racine County Split,42.719767893637,-87.77419049621659,1,53401
Racine County Split,42.719767893637,-87.79151410378344,5,53403
Hernando County,28.8999815,-82.37454009999999,2,34442
Butler County,40.8611755,-79.89533279999999,20,16003
Saginaw County,43.4194699,-83.9508068,14,48602
Beaufort County Split,32.437944306363,-80.66228978279321,10,29902
Beaufort County Split,32.437944306363,-80.6773674172068,28,29902
Beaufort County Split,32.425218293636995,-80.66228978279321,9,29920
Beaufort County Split,32.425218293636995,-80.6773674172068,26,29902
Newport News City Split,37.093445106363006,-76.46503570812469,10,23606
Newport News City Split,37.093445106363006,-76.48098869187531,9,23606
Newport News City Split,37.080719093637,-76.46503570812469,20,23606
Newport News City Split,37.080719093637,-76.48098869187531,17,23606
Washington County,37.1305373,-113.5082867,3,84780
Medina County Split,41.149608006363,-81.8636690557063,4,44256
Medina County Split,41.136881993637,-81.8636690557063,19,44256
Ulster County,41.96251280000001,-73.990115,10,12449
Peoria County Split,40.700011806363,-89.59737857995049,8,61606
Peoria County Split,40.687285793637,-89.5805942200495,6,61629
Peoria County Split,40.687285793637,-89.59737857995049,27,61605
Imperial County,32.8475528,-115.5694391,2,92251
Shawnee County,39.02284849999999,-94.7151865,9,66217
Muskegon County Split,43.240544306363006,-86.23965842621278,8,49442
Muskegon County Split,43.240544306363006,-86.2571257737872,12,49440
Muskegon County Split,43.227818293637,-86.2571257737872,10,49441
Lower Connecticut River Valley Planning Region,41.403027,-72.4509331,5,06412
Porter County,41.6163803,-87.0747971,4,46304
Aiken County Split,33.566779806363,-81.71191741768425,1,29801
Aiken County Split,33.566779806363,-81.72718918231575,32,29801
Aiken County Split,33.554053793637,-81.71191741768425,7,29801
Aiken County Split,33.554053793637,-81.72718918231575,28,29801
Davidson County Split,35.505666106363,-80.84086881585695,8,28036
Davidson County Split,35.505666106363,-80.85650038414305,12,28036
Davidson County Split,35.492940093637,-80.84086881585695,6,28036
Davidson County Split,35.492940093637,-80.85650038414305,17,28036
Midland County Split,32.003708606363006,-102.07041169750946,18,79701
Midland County Split,32.003708606363006,-102.08541750249054,6,79701
Midland County Split,31.990982593637,-102.07041169750946,17,79701
Midland County Split,31.990982593637,-102.08541750249054,2,79701
Kenosha County Split,42.591105506363,-87.81254326708721,24,53140
Kenosha County Split,42.591105506363,-87.82982753291277,7,53140
Kenosha County Split,42.578379493636994,-87.81254326708721,16,53140
Kenosha County Split,42.578379493636994,-87.82982753291277,8,53143
Chittenden County,43.7271064,-72.9428417,2,05737
Pueblo County Split,38.276962606363,-104.60199853298124,7,81003
Pueblo County Split,38.264236593636994,-104.60199853298124,13,81003
Pueblo County Split,38.264236593636994,-104.61820806701878,37,81003
Beaver County,40.6953437,-80.30478459999999,15,15009
Comal County,29.8105572,-98.2212979,1,
Rensselaer County Split,42.648942406363005,-73.75154816238273,27,12202
Rensselaer County Split,42.636216393637,-73.75154816238273,4,12202
Jackson County Split,42.252232006363,-84.39275063951136,6,49201
Jackson County Split,42.252232006363,-84.40994176048862,22,49201
Jackson County Split,42.239505993637,-84.39275063951136,1,49203
Jackson County Split,42.239505993637,-84.40994176048862,1,49203
St. Clair County,42.8208653,-82.486024,17,48079
Schenectady County Split,42.820606206363,-73.93089456534459,21,12308
Schenectady County Split,42.820606206363,-73.9482428346554,9,12305
Schenectady County Split,42.807880193637,-73.93089456534459,5,12307
Schenectady County Split,42.807880193637,-73.9482428346554,14,12305
Fairfield County,39.3454673,-84.5603187,5,45014
Stafford County,38.4220687,-77.4083086,1,22554
Alexandria City Split,38.811198506363006,-77.03875621561636,25,22314
Alexandria City Split,38.811198506363006,-77.05508658438364,45,22314
Alexandria City Split,38.798472493637,-77.03875621561636,38,22314
Alexandria City Split,38.798472493637,-77.05508658438364,20,22314
Madera County Split,36.967698606363,-120.05275430047688,2,93638
Madera County Split,36.967698606363,-120.06868089952312,8,93637
Madera County Split,36.954972593637,-120.05275430047688,8,93638
